"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","text-tag_textTag__mQeO_","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3"
"https://www.yad2.co.il/realestate/item/421y6x68?opened-from=feed&component-type=main_feed&spot=platinum&location=1","https://img.yad2.co.il/Pic/202411/06/2_5/o/y2_1pa_995759_20241106093511.jpeg?w=3840&h=3840&c=9","ברונקו 26 נדל""ן","ברונקו 26 נדל""ן","1,840,000 ₪","דירה","דירה, עפולה","5 חדרים • קומה ‎4‏ • 173 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/mdjix7an?opened-from=feed&component-type=main_feed&spot=platinum&location=2","https://img.yad2.co.il/Pic/202406/09/2_5/o/y2_1pa_010874_20240609135425.jpeg?w=3840&h=3840&c=9","תיווך הצבי","תיווך הצבי","690,000 ₪","דירה","דירה, טבריה","3.5 חדרים • קומה ‎4‏ • 75 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/ch1v42v7?opened-from=feed&component-type=main_feed&spot=platinum&location=3","https://img.yad2.co.il/Pic/202406/05/2_5/o/y2_1pa_010432_20240605155654.jpeg?w=3840&h=3840&c=9","קבוצת מונטיפיורי נדל""ן","קבוצת מונטיפיורי נדל""ן","29,000,000 ₪","פישמן מיימון","גג/ פנטהאוז, תל אביב יפו","5.5 חדרים • קומה ‎18‏ • 430 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/q5lhk2md?opened-from=feed&component-type=main_feed&spot=standard&location=4","https://img.yad2.co.il/Pic/202405/20/2_1/o/y2_1pa_010191_20240520212946.jpeg?w=3840&h=3840&c=9","","","1,650,000 ₪","האשל 3","בית פרטי/ קוטג', שאר העיר, חצור הגלילית","5 חדרים • קומה ‎קרקע‏ • 230 מ״ר","המודעה נשמרה","ירד ב-40,000 ₪","נוף פתוח לעיר","משופצת אדריכלית","בניין משופץ"
"https://www.yad2.co.il/realestate/item/zekbyoiu?opened-from=feed&component-type=main_feed&spot=standard&location=5","https://img.yad2.co.il/Pic/202411/06/2_1/o/y2_1pa_010665_20241106222544.jpeg?w=3840&h=3840&c=9","","","2,990,000 ₪","אהוד מנור 5","דירה, חתני פרס ישראל, באר יעקב","5 חדרים • קומה ‎10‏ • 138 מ״ר","המודעה נשמרה","","ממ""ד","4 כיווני אוויר","חניה"
"https://www.yad2.co.il/realestate/item/mrrgwkga?opened-from=feed&component-type=main_feed&spot=standard&location=6","https://img.yad2.co.il/Pic/202411/06/2_1/o/y2_1pa_010201_20241106140935.jpeg?w=3840&h=3840&c=9","","","5,800,000 ₪","קיבוץ גלויות 11","בית פרטי/ קוטג', נווה שרת, זכרון יעקב","7 חדרים • קומה ‎קרקע‏ • 330 מ״ר","המודעה נשמרה","","3 חדרי מקלחת","3 כיווני אוויר","חניה"
"https://www.yad2.co.il/realestate/item/n9dmnf0y?opened-from=feed&component-type=main_feed&spot=standard&location=7","https://img.yad2.co.il/Pic/202411/04/2_1/o/y2_1pa_010152_20241104121249.jpeg?w=3840&h=3840&c=9","","","3,580,000 ₪","ירושלים 131","דירה, השומר, ראשון לציון","5 חדרים • קומה ‎17‏ • 140 מ״ר","המודעה נשמרה","","ממ""ד","3 כיווני אוויר","חניה"
"https://www.yad2.co.il/realestate/item/qmdcu1ae?opened-from=feed&component-type=main_feed&spot=standard&location=8","https://img.yad2.co.il/Pic/202406/27/2_1/o/y2_1_05484_20240627104016.jpeg?w=3840&h=3840&c=9","","","110,000 ₪","ברנדייס 1","מגרשים, ברנדייס, חדרה","קומה ‎קרקע‏ • 250 מ״ר","המודעה נשמרה","","חדש מקבלן","חבל לפספס","בהזדמנות"
"https://www.yad2.co.il/realestate/item/8serajhf?opened-from=feed&component-type=main_feed&spot=standard&location=9","https://img.yad2.co.il/Pic/202410/29/2_1/o/y2_1pa_010328_20241029070443.jpeg?w=3840&h=3840&c=9","","","1,470,000 ₪","נווה גנים 2","דירה, נווה יוסף, חיפה","3 חדרים • קומה ‎4‏ • 62 מ״ר","המודעה נשמרה","","ממ""ד","נוף פתוח לפארק","חניה"
"https://www.yad2.co.il/realestate/item/fg17b6ks?opened-from=feed&component-type=main_feed&spot=standard&location=10","https://img.yad2.co.il/Pic/202404/28/2_1/o/y2_1pa_010389_20240428230038.jpeg?w=3840&h=3840&c=9","","","2,300,000 ₪","סשה ארגוב 4","דירה, קרית האמנים, מצליח, רמלה","4 חדרים • קומה ‎7‏ • 115 מ״ר","המודעה נשמרה","","ממ""ד","חניה","נכס עורפי"
