"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3","text-tag_textTag__mQeO_"
"","","","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/yrc4238u?opened-from=feed&component-type=main_feed&spot=platinum&location=1","https://img.yad2.co.il/Pic/202405/09/2_5/o/y2_1pa_010105_20240509122151.jpeg?w=3840&h=3840&c=9","פאר תיווך נכסים","פאר תיווך נכסים","4,000,000 ₪","דרך מנחם בגין","דירה, מונטיפיורי, הרכבת, תל אביב יפו","3 חדרים • קומה ‎16‏ • 82 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/42y2wunn?opened-from=feed&component-type=main_feed&spot=platinum&location=2","https://img.yad2.co.il/Pic/202406/30/2_5/o/y2_1pa_010559_20240630062345.jpeg?w=3840&h=3840&c=9","next space real estate","next space real estate","3,450,000 ₪","הסדנה","גג/ פנטהאוז, גבעת הרצל, אזור המלאכה יפו, תל אביב יפו","3 חדרים • קומה ‎8‏ • 88 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/bfa3am1t?opened-from=feed&component-type=main_feed&spot=platinum&location=3","https://img.yad2.co.il/Pic/202306/07/2_5/o/y2_1_SEhouQMTGh_20230607.jpeg?w=3840&h=3840&c=9","ישראהום נכסים","ישראהום נכסים","4,900,000 ₪","אברהם בויאר","דירה, רמת אביב ג', תל אביב יפו","3 חדרים • קומה ‎7‏ • 82 מ״ר","המודעה נשמרה","","","",""
"https://www.yad2.co.il/realestate/item/cmvqndri?opened-from=feed&component-type=main_feed&spot=standard&location=4","https://img.yad2.co.il/Pic/202411/10/2_1/o/y2_1_07822_20241110135409.jpeg?w=3840&h=3840&c=9","","","2,990,000 ₪","שדרות ירושלים 19","דירה, צפון יפו, המושבה האמריקאית-גרמנית, תל אביב יפו","3 חדרים • קומה ‎3‏ • 58 מ״ר","המודעה נשמרה","ממ""ד","חניה","קרוב לים",""
"https://www.yad2.co.il/realestate/item/0z7p1i78?opened-from=feed&component-type=main_feed&spot=standard&location=5","https://img.yad2.co.il/Pic/202410/01/2_1/o/y2_1pa_010172_20241001192955.jpeg?w=3840&h=3840&c=9","","","5,500,000 ₪","ירמיהו 34","גג/ פנטהאוז, הצפון הישן - צפון, תל אביב יפו","3 חדרים • קומה ‎3‏ • 108 מ״ר","המודעה נשמרה","3 כיווני אוויר","נוף פתוח לעיר","נכס עורפי",""
"https://www.yad2.co.il/realestate/item/gtgoi48i?opened-from=feed&component-type=main_feed&spot=standard&location=6","https://img.yad2.co.il/Pic/202410/13/2_1/o/y2_1pa_010240_20241013103421.jpeg?w=3840&h=3840&c=9","","","3,750,000 ₪","בן יהודה 122","דירה, הצפון הישן - דרום, תל אביב יפו","3 חדרים • קומה ‎3‏ • 84 מ״ר","המודעה נשמרה","3 מרפסות","3 חדרי מקלחת","3 כיווני אוויר",""
"https://www.yad2.co.il/realestate/item/49a3ww25?opened-from=feed&component-type=main_feed&spot=standard&location=7","https://img.yad2.co.il/Pic/202406/15/2_1/o/y2_1_08532_20240615173104.jpeg?w=3840&h=3840&c=9","","","2,750,000 ₪","קמינסקה 8","דירת גן, קרית שלום, תל אביב יפו","3 חדרים • קומה ‎קרקע‏ • 117 מ״ר","המודעה נשמרה","ממ""ד","נכס עורפי","חדש מקבלן",""
"https://www.yad2.co.il/realestate/item/fli98598?opened-from=feed&component-type=main_feed&spot=standard&location=8","https://img.yad2.co.il/Pic/202409/25/2_1/o/y2_1pa_010153_20240925145642.jpeg?w=3840&h=3840&c=9","","","5,350,000 ₪","אנטיגונוס 5","דירה, הצפון החדש - צפון, תל אביב יפו","3 חדרים • קומה ‎1‏ • 84 מ״ר","המודעה נשמרה","ממ""ד","חניה","חדש מקבלן",""
"https://www.yad2.co.il/realestate/item/orug2g2x?opened-from=feed&component-type=main_feed&spot=standard&location=9","https://img.yad2.co.il/Pic/202410/27/2_1/o/y2_1_02193_20241027150118.jpeg?w=3840&h=3840&c=9","","","4,600,000 ₪","איינשטיין 43","דירה, נווה אביבים, תל אביב יפו","3 חדרים • קומה ‎1‏ • 56 מ״ר","המודעה נשמרה","ייחודי","חבל לפספס","בהזדמנות",""
