"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","text-tag_textTag__mQeO_","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E 3"
"","","","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/1sao2123?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=7","https://img.yad2.co.il/Pic/202410/30/2_5/o/y2_9_dXYIOPXoHj_20241030.jpeg?w=3840&h=3840&c=9","בלעדי","טל נכסים -מבית קלר וויליאמס צפון מערב ת""א","טל נכסים -מבית קלר וויליאמס צפון מערב ת""א","4,300,000 ₪","משה פרלוק","דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו","3 חדרים • קומה ‎7‏ • 89 מ״ר","ממ""ד","חניה","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/4cy4zjwt?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=7","https://img.yad2.co.il/Pic/202411/08/2_5/o/o2_5_1_08895_20241108171411.jpg?w=3840&h=3840&c=9","","הבימה","הבימה","4,250,000 ₪","אליעזר קפלן","דירה, גני שרונה, קרית הממשלה, תל אביב יפו","3 חדרים • קומה ‎3‏ • 98 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/mv32i5nk?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=7","https://img.yad2.co.il/Pic/202410/21/2_5/o/y2_1pa_010888_20241021120654.jpeg?w=3840&h=3840&c=9","בלעדי","פנורמה","פנורמה","4,100,000 ₪","רופין","דירה, הצפון הישן - דרום, תל אביב יפו","3 חדרים • קומה ‎1‏ • 66 מ״ר","קרוב לים","יחידת הורים","המודעה נשמרה","בניין משופץ"
"https://www.yad2.co.il/realestate/item/54l96b1y?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=7","https://img.yad2.co.il/Pic/202410/06/2_1/o/y2_1_05762_20241006111627.jpeg?w=3840&h=3840&c=9","","","","4,200,000 ₪","הקונגרס 20","דירה, נווה שאנן, תל אביב יפו","3 חדרים • קומה ‎5‏ • 70 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/mksgz7t2?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=7","https://img.yad2.co.il/Pic/202410/21/2_1/o/y2_1pa_010925_20241021104720.jpeg?w=3840&h=3840&c=9","","","","2,555,000 ₪","סנפיר 2","דירה, נווה חן, תל אביב יפו","3 חדרים • קומה ‎1‏ • 93 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/zskj3twm?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=7","https://img.yad2.co.il/Pic/202409/01/2_1/o/y2_1pa_010014_20240901232949.jpeg?w=3840&h=3840&c=9","","","","4,950,000 ₪","ליאונרדו דה וינצ'י 14","דירה, גני שרונה, קרית הממשלה, תל אביב יפו","3 חדרים • קומה ‎12‏ • 76 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/pwuj6ovg?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=7","https://img.yad2.co.il/Pic/202410/22/2_1/o/y2_2_04834_20241022201925.jpeg?w=3840&h=3840&c=9","","","","2,650,000 ₪","חלמית 2","דירה, יפו ד', גבעת התמרים, תל אביב יפו","3 חדרים • קומה ‎4‏ • 72 מ״ר","","","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/bfdc5i70?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=7","https://img.yad2.co.il/Pic/202408/23/2_1/o/y2_1pa_010578_20240823135845.jpeg?w=3840&h=3840&c=9","","","","4,350,000 ₪","מזא""ה 74","דירה, לב תל אביב, לב העיר צפון, תל אביב יפו","3 חדרים • קומה ‎קרקע‏ • 60 מ״ר","ממ""ד","חבל לפספס","המודעה נשמרה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/nb0d9rzc?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=7","https://img.yad2.co.il/Pic/202410/20/2_1/o/y2_1_07629_20241020224157.jpeg?w=3840&h=3840&c=9","","","","2,555,000 ₪","שדרות ששת הימים 48","דירה, נווה אליעזר וכפר שלם מזרח, תל אביב יפו","3 חדרים • קומה ‎1‏ • 93 מ״ר","","","המודעה נשמרה",""
